screen_name,text,time,date
@fenesoctavian,@femfreq You are a despicable whore :),6:23 AM,1/20/2015
@adensma,"@femfreq kill yourself feminists are a waste of air also more games should have girl characters half naked such as ""Tomb Raider"" etc",7:17 PM,1/20/2015
@chesttt,@femfreq shut the fuck up bitch I'm the lawyer of this community got something to say take it up with me,7:22 PM,1/20/2015
@lizardappaalle,"@femfreq you criticize gamers for ""threatening you"" 1v1 me gta u be the prostitute and I'll be the guy that runs over you attention whore",7:48 PM,1/20/2015
@mcmorganfreeman,@femfreq BITCH WERE NOT TALKING ABOUT THAT SO I HOPE YOU GET FUCKING RAPED U FUCKING WHORE,8:33 PM,1/20/2015
@jaymcklay,@femfreq I hope every feminist has their head severed from their shoulders.,8:40 PM,1/20/2015
@zambbi,@femfreq FUCK U. ATTENTION WHORE FUCK OFF.,9:01 PM,1/20/2015
@oreindeer,@femfreq kill yourself oh wait sorry did I hurt your tits with my keyboard,9:04 PM,1/20/2015
@red_hazz,@femfreq fuck you and everything you stand for,9:09 PM,1/20/2015
@disputebrawl,@femfreq YOU STUPID FUCKING CUNT IMA FUCKING RAPE U ALLLL THE WAY TP 2069 SWEATIE FUK WE ME MY NIGGA I NAC FER DAYS O WAIT U DONT KNOW A NAC,9:09 PM,1/20/2015
@raw_nox,how about you get cancer @femfreq,9:12 PM,1/20/2015
@craftpls,@femfreq FUCK YOU BITCH,9:18 PM,1/20/2015
@stanceflows,"@femfreq fuck you, bitch",9:25 PM,1/20/2015
@mackey2k,@femfreq oi fuck you mother fucker slut bitch female ass hoe slut fuck you show me your tits,9:31 PM,1/20/2015
@corrupednuk3r,"@femfreq Just putting it out there, you deserve all those death threats you are getting.",9:31 PM,1/20/2015
@omglove_,"nobody comes at call of duty like that. i'll quickscope you irl, fgt. @femfreq",9:34 PM,1/20/2015
@mynameisbeats,@femfreq @Nightline please shut the fuck up but wait you'll make a article about how I threatened you and act like I'm satan well bitch u r,9:37 PM,1/20/2015
@gypsykick,@femfreq lol dumb bitch,9:48 PM,1/20/2015
@high_tier,@femfreq and gta is a game where there is reality ... I can choose to pick up a slut or not kill a slut or not run over a slut or not,10:07 PM,1/20/2015
@impaired,@femfreq kill yourself you piece of garbage. You shouldn't be able to breathe. Such a waste of oxygen.,10:24 PM,1/20/2015
@vqnishh,@femfreq fuck you're a dumb cunt,10:35 PM,1/20/2015
@tvrboh,@femfreq I Hope you fucking Kill yourself Get Ice Skates Split your throat And drink bleach,10:36 PM,1/20/2015
