text,target
. could favoured tech bigot  Name 3 games?  Can she play 1 game yet? ,0
  The show is incredible :3,0
"  I actually haven't seen the show, lol. But found it awesome for a famous face to speak out truth for woman. :)",0
RT : Excited to be speaking at the #AllAboutWomen festival at the Sydney Opera House in Australia today http://t.co/XyXl1xvRYn,0
 you whore.,1
"RT : ""The death threats have become routine: Screen cap, forward to the FBI, block, and move on.""  #allaboutwomen",0
"RT : ""I've been playing comp games since I was 5""...""but was always told games only for boys""
 at #AllAboutWomen ht…",0
RT : I'm angry that I'm meant to accept online harassment just because I'm a woman with an opinion. -  #AllAboutWomen #f…,0
RT : Structural bandaids against cyber harassment ...  at #AllAboutWomen http://t.co/rQb46MtV3I,0
"RT : ""Feminism is not about striving for perfection. It's about striving for justice"" says  at #AllAboutWomen",0
    Did she acknowledge the women that support #GamerGate,0
RT : Send some kind words to    &amp; the other women helping to make sure we celebrate them…,0
    Why is someone who doesn't like video games talking about whats best for video games?,0
"   yet anita would have you believe gaming is a "" boys club """,0
"RT : ""The death threats have become routine: Screen cap, forward to the FBI, block, and move on.""  #allaboutwomen",0
Ones who influenced me most:       #IWD2015 #InternationalWomensDay,0
“:  did u tweet this or a 13 year old girl”  why does it have to be a girl? stop downgrading women like that.,0
Follow more awesome ladies:         ,0
RT : You're pretty smart for a woman.  http://t.co/1FcFF48nQX,1
RT : 10 things I heard at #AllAboutWomen I can't stop thinking about. http://t.co/qh5LDKTVuu    …,0
"RT : ""The death threats have become routine: Screen cap, forward to the FBI, block, and move on.""  #allaboutwomen",0
  How much was you paid for this tweet?,1
  That show is awesome ^.^,0
"  If its all about women the world population would end, both genders need each other to survive.",0
RT : Happy International Women's Day to all the best women gamers!      …,0
  Youve open told ppl youre not a gamer in multiply videos. Liar.,1
  I think she should clarify what she meant when she said she wasn't a fan in 2010,0
" I think the more important tweet should have been, ""Dying Light has a QTE end boss fight  ... aren't  you embarrassed by this yet?""",0
  There's a video of her telling people she isnt a gamer and she also stole gameplay clips from people to use for her own,0
RT : I'm angry that I'm meant to accept online harassment just because I'm a woman with an opinion. -  #AllAboutWomen #f…,0
"  I ALMOST get what  says re: listening. As in ignoring is bad, BUT all the rest.",0
" Can I ask, would you go head to head in a live debate with someone over Tropes Vs Women in Video Games?",0
RT : I'm angry that I'm meant to accept online harassment just because I'm a woman with an opinion. -  #AllAboutWomen #f…,0
Happy International Women's Day to all the best women gamers!      ,0
Thanks &amp; back at you. Happy international women's day!       ,0
"  &lt;-- if either a man or women hit, I will treat them equally 👀",0
Orange Is the New Black actor discovers what feminism actually means   http://t.co/pBvDwoRl5E http://t.co/xUE3iUnMdl,0
"   I play Assassins Creed, Skyrim, you name it. And there's plenty of other girls that do too.",0
"   pretty narrow-minded to say most women only play games like candy crush, &amp; that men play ""real"" games",0
I liked a  video from  http://t.co/ck9XaC9DuS Why Does  Refuse To Help Raped Sex Workers? #gamergate,0
RT : You're pretty smart for a woman.  http://t.co/1FcFF48nQX,1
 so how's life being a sockpuppet to a man?,1
   She was not thrown. She tripped. Come on get it right.,1
 #gamergate  $60k #feminist billboards feature woman thrown down a flight of stairs http://t.co/JbE96EzSkb,0
RT : Send some kind words to    &amp; the other women helping to make sure we celebrate them…,0
Recognizing awesome women        #InternationalWomensDay,0
RT : 10 things I heard at #AllAboutWomen I can't stop thinking about. http://t.co/qh5LDKTVuu    …,0
RT :  um you do realize that your a brand right not a feminist.,1
"RT : Every day, I am in awe of the grace &amp; strength with which ,  &amp;  handle the horrific s…",0
RT : 10 things I heard at #AllAboutWomen I can't stop thinking about. http://t.co/qh5LDKTVuu    …,0
RT : 10 things I heard at #AllAboutWomen I can't stop thinking about. http://t.co/qh5LDKTVuu    …,0
RT : 10 things I heard at #AllAboutWomen I can't stop thinking about. http://t.co/qh5LDKTVuu    …,0
"RT : I'm beside myself with a combination of awe, inspiration and outrage at the abuse  cops! #AllAboutWomen http://t.…",0
RT : #InternationalWomensDay follow        …,0
"RT : ""The death threats have become routine: Screen cap, forward to the FBI, block, and move on.""  #allaboutwomen",0
"RT : One day #ISIS will criticise  and then the world will rise up and take action.
#GamerGate",0
#InternationalWomensDay follow         ,0
RT : 10 things I heard at #AllAboutWomen I can't stop thinking about. http://t.co/qh5LDKTVuu    …,0
  Pandemic is a popular cooperative board game by . Have fun with your friends!,0
       #IAmAFeminist &amp; I'm so proud to stand with you all! Happy #IWD2015,0
  v jealous. Tell her I want to kiss her,0
RT : I'm angry that I'm meant to accept online harassment just because I'm a woman with an opinion. -  #AllAboutWomen #f…,0
"RT : ""The death threats have become routine: Screen cap, forward to the FBI, block, and move on.""  #allaboutwomen",0
" !!! Also going to talk by  tonight, wish u were ere",0
"RT : ""Feminism is not about striving for perfection. It's about striving for justice"" says  at #AllAboutWomen",0
RT : P.S. Anyone who says that  isn't a gamer: note that she has eradicated all four of Pandemic's diseases: https://t.c…,0
RT : I'm angry that I'm meant to accept online harassment just because I'm a woman with an opinion. -  #AllAboutWomen #f…,0
"Seeking recommendations of reading matter about ""choice feminism"" after learning of it from , all links gratefully received",0
RT : It's neat to see that  and her fans actively want people to die of cancer.,0
"RT : ""I will keep doing this work, I will keep speaking up because I don't want this to happen to anyone else""  …",0
"RT : ""I almost never make jokes anymore on YouTube, because people often misinterpret humour as ignorance.""  #AllAboutW…",0
RT : 10 things I heard at #AllAboutWomen I can't stop thinking about. http://t.co/qh5LDKTVuu    …,0
It's neat to see that  and her fans actively want people to die of cancer.,0
RT : I'm angry that I'm meant to accept online harassment just because I'm a woman with an opinion. -  #AllAboutWomen #f…,0
 I'm so sad that I missed your talk in Sydney due to illness :( Here's what my friend had to say. http://t.co/4Lbsr34MfK,0
"RT : ""I will keep doing this work, I will keep speaking up because I don't want this to happen to anyone else""  …",0
RT : P.S. Anyone who says that  isn't a gamer: note that she has eradicated all four of Pandemic's diseases: https://t.c…,0
"RT :   in other words you are with us or you are against us.  

Yup, sounds like feminism #GamerGate",0
"RT :   Looking at both sides, that is why glass is clear, I believe you can be neutral on a moving train.",0
      I'm such a shitlord,0
RT : Send some kind words to    &amp; the other women helping to make sure we celebrate them…,0
"Uh-oh, harassment!!! /s      ",0
Really keen on checking out #portal2 after  #AllAboutWomen talk yesterday!,0
"RT : ""I've been playing comp games since I was 5""...""but was always told games only for boys""
 at #AllAboutWomen ht…",0
     I'm tagging  this will anger her greatly,0
" Well, you dolts have been annoying #GDC, #PAXEast, ,  and Zoe Quinn all week.  ",0
"RT : ""The death threats have become routine: Screen cap, forward to the FBI, block, and move on.""  #allaboutwomen",0
  So you had to call it a hate group because you know it's right and you can't let that message get out,0
RT : 10 things I heard at #AllAboutWomen I can't stop thinking about. http://t.co/qh5LDKTVuu    …,0
  so being told it was for boys never stopped her from playing? Mission accomplished.,1
RT : One of the things I'm coming away with at #AllAboutWomen is I need to give positive feedback  you are utterly fabulou…,0
RT : 10 things I heard at #AllAboutWomen I can't stop thinking about. http://t.co/qh5LDKTVuu    …,0
RT : You can't be neutral on a moving train.   just now at the Opera House. So good to hear her speak. http://t.co/UvGdn…,0
RT : 10 things I heard at #AllAboutWomen I can't stop thinking about. http://t.co/qh5LDKTVuu    …,0
  I meant to accept the same fucking thing because I'm a man with an opinion so fuck off,1
RT : 10 things I heard at #AllAboutWomen I can't stop thinking about. http://t.co/qh5LDKTVuu    …,0
Amazingly courageous &amp; brilliant  takes on the cybermobs http://t.co/TptIj3WvSh (we watched this at work) #219tweets #womensday,0
"RT : ""I've been playing comp games since I was 5""...""but was always told games only for boys""
 at #AllAboutWomen ht…",0
10 things I heard at #AllAboutWomen I can't stop thinking about. http://t.co/qh5LDKTVuu     ,0
"RT : ""The death threats have become routine: Screen cap, forward to the FBI, block, and move on.""  #allaboutwomen",0
RT : Feminism is a lifelong learning endeavour -  #AllAboutWomen #feminism,0
 I remember finding 's video on ironic damseling to be so eye-opening for this.,0
   she's referring to gaming being looked at as a male-dominated space http://t.co/ekY8pYz6na,0
"RT : On the most perfect date we watched a  video and then scratched my brother's GTA V disc. It was beyond sexual.
…",0
"RT : Haha, entire room chuckling happily as  points out that, from some angles, the Opera House looks like the turrets …",0
RT : I have the word 'kitchen' and four or five different spellings of 'sandwich' blocked on my FB page. -  #AllAboutWom…,0
"   well certain parts of gaming are fairly male dominated , men and women often Luke different things",1
"RT : ""The death threats have become routine: Screen cap, forward to the FBI, block, and move on.""  #allaboutwomen",0
"  everybody else already just ignores it, saying you're special is sexist",1
"RT : ""The death threats have become routine: Screen cap, forward to the FBI, block, and move on.""  #allaboutwomen",0
   Link so I can try it on my own male characters? :3,0
RT : Watch our new short video - Playing with Privilege: 25 Invisible Benefits of Gaming While Male http://t.co/xhgt06D646,0
 mrs.  STILL has nothing to do with #gamergate,0
  wtf does that even mean?,1
 Mrs.  has nothing to do with games journalism #GamerGate,0
writing babing queer scripts today. Seeing  talk in Melbourne tomorrow. And off to  this weekend! All good things!,0
#gamergate  So  posted A GUARANTIED WIN male protagonist bingo. Lets play. http://t.co/l82boV3dhB,0
"#gamergate "" You can see all the rhetoric of the anti-intellectual right in GG's hatred of people like  and """,0
RT :  You can see all the rhetoric of the anti-intellectual right in GG's hatred of people like  and…,0
"   right, they're in love with the status quo and lash out at anything that could potentially change it.",0
RT :  You can see all the rhetoric of the anti-intellectual right in GG's hatred of people like  and…,0
 You can see all the rhetoric of the anti-intellectual right in GG's hatred of people like  and ,0
RT : I'm angry that I'm meant to accept online harassment just because I'm a woman with an opinion. -  #AllAboutWomen #f…,0
RT : anybody who ignores the work of  or  or  when talking about great women in games is strai…,0
 this is what  wanted this is our future,0
"  And I've dominated everyone in monopoly and scrabble.
What a gamer. A board gamer.",0
RT :  Thx! INominate         #top100…,0
   pretty flattered to be included here tbh,0
"RT : ""I will keep doing this work, I will keep speaking up because I don't want this to happen to anyone else""  …",0
anybody who ignores the work of  or  or  when talking about great women in games is straight up bullshit,0
  Is that why women get helped and free shit every time they play any online game.They get given things all the time,1
  People play female characters just to get free shit online all the time. You guys are delusional as fuck,1
"  Ok does anyone here believe being a male in a game benefits you, are you Fucking KIDDING ME!",1
