text,target
@ChloeSeashell @femfreq And they say we don't understand free speech.,0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
"@cptncutleg Holy fuck. Did you just dump that pile of horsecrap into a conversation? Get lost, we're done here. @Spacekatgal @femfreq",0
"RT @_RogueSt4r: https://t.co/Jdwrv5QNxv

I found the @SpaceKatGal @TheQuinnspiracy @Femfreq @TimOfLegend @alexlifschitz @PHIL_FISH soundtra…",0
I'm quite certain if we canvassed a convention like PAX with the same survey we'd get the same kind of answers. Wonder what @femfreq thinks?,0
"RT @ChloeSeashell: Note to @femfreq: We are not trying to take your Youtube channel away. If YOU can critique people's art, we can critique…",0
"@femfreq I WAANT TO FUCKING STAB YOUR STUPID FUCKING UGLY SHAPED FACE YOU FEMINIST CUNT, KILL YOURSELF, NO ONE WILL CARE BITCH.",1
@femfreq u are not a real gamer go die get out of here #GamerGate #fuckyouanita #DramaAlert @KEEMSTARx,1
"@ChloeSeashell @femfreq reliance on sexism stifles creation you say, explains why you have been unable to complete your video series.",1
@femfreq Hey Michael Hing from @ABC2 @GoodGameTV was wondering if you could sit on my face and let me inhale you ass?,1
@femfreq well try sorting issues like Saudi Arabias REAL patriarchy instead of telling me how to sit on public transport you silly cunt!,1
"RT @_RogueSt4r: https://t.co/Jdwrv5QNxv

I found the @SpaceKatGal @TheQuinnspiracy @Femfreq @TimOfLegend @alexlifschitz @PHIL_FISH soundtra…",0
"@femfreq you're a sad bunch for supporting this attention whore. you people need to grow up, seriously, the lies she spits is embarrassing.",1
"RT @iam8bit: .@femfreq @marieclaire Great read, Anita! Thank you! http://t.co/BmCgjQnWqY",0
@Cgpreisinger @iam8bit @femfreq yes i am dissagreeing with the shirts and im disagreeing that gamergate is filled with harassment,0
"@Charlie_Jarls @iam8bit @femfreq @marieclaire ""abuse will go away"" That's a good one, now tell us another!",0
"@stonemirror @Spacekatgal @femfreq Also, don't attack people if you can't handle them criticizing you back.",0
@femfreq OMG burh jus go and die on a plane er some schiesse i men nodoby give panus bout you,1
@radicalbytes @femfreq check your privilege m8.,0
@pixelgoth @opasx @femfreq even if I disagree with her sometimes she's still starting dialog and encouraging discussion,0
Women are second class and belong 10 paces behind me or In the kitchen @femfreq,1
"@cptncutleg So, they've been punishing her ever since. @Spacekatgal @femfreq",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
@femfreq FUCK YOU BITCH,1
"@femfreq you're not being abused, don't act like a victim you bitch. Your being rebelled. Your views are close-minded and ignorant.",1
"@femfreq I don't like you but I pretend to to piss off my pro-#gamergate friend, I just felt the need to say this",0
"@femfreq $30,000 in 5 months and you make a video I could in a week for free lol how old are you again? #micdrop 
https://t.co/x8pw4BVy0h",0
"RT @UnseenPerfidy: If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU …",0
@femfreq Seriously you are dumb. In GTA5 everyone has horrendous violence against them. Fuck off you rancid swine.,1
"If you were pissed at Ebert's ""video games can never be art"" stuff, but hate @femfreq's feminist critique of games,STFU forever, hypocrites.",0
